id	Code	IP	Cart_id	Goods_id	Amount
65	[NM3B33MY]	109.189.136.134	9598	19	5
66	[HP8XCIB5]	109.20.114.95	8713	19	3
67	[PRHM0WPI]	109.20.69.187	9171	23	2
68	[GMX2YORE]	11.179.172.205	8675	20	4
69	[FZS9PNYW]	11.179.172.205	8675	4	2
70	[LSUPNLEZ]	11.56.98.122	8955	22	2
71	[1LJ6C2LS]	11.56.98.122	8955	3	1
72	[2JTQOQMO]	110.122.226.255	9015	15	3
73	[ZVLPM7RT]	110.199.251.175	9343	1	1
74	[YY3ZPB09]	110.217.254.99	9740	24	2
75	[4HN9KOER]	110.217.254.99	9740	5	2
76	[4EO0PGBL]	110.241.111.50	9044	23	2
77	[FKV4NS75]	111.10.43.60	8777	3	2
78	[K7NV4BT0]	111.10.43.60	9132	19	2
79	[AX5EQ4I2]	111.208.35.89	8678	20	1
80	[FXO89EL2]	111.208.35.89	8678	10	4
81	[GADIO1C4]	111.208.35.89	9219	5	1
82	[UG0RMYFG]	111.208.35.89	9219	19	1
83	[WRSFOXBI]	111.208.35.89	9219	12	2
84	[RVRAFAWB]	111.230.53.52	9451	21	2
85	[6XJIHC66]	112.31.144.7	8874	20	2
86	[SQZ3ZQKB]	112.31.144.7	9350	20	1
87	[ESG4YIIM]	112.31.144.7	9350	22	1
88	[SKYIXJKR]	112.31.144.7	9350	20	5
89	[9SGIE44T]	114.0.179.225	8648	12	1
90	[6Q3PE1NI]	114.0.179.225	8858	8	1
91	[BBWDOX7N]	114.0.73.204	9444	21	1
92	[3J3AW1I7]	114.106.71.155	9383	4	2
93	[ZBTAWM29]	114.133.224.58	9157	21	2
94	[IK3QJPY3]	114.133.224.58	9157	15	5
95	[RYVM85SK]	114.82.227.77	9115	14	1
96	[K7FRLVRQ]	114.82.227.77	9115	21	1
97	[VJZJ7AI0]	115.53.141.169	9213	14	1
98	[HSE7HVOO]	115.53.141.169	9213	23	2
99	[ZWXNC5LC]	115.53.141.169	9213	12	1
100	[Z70DEYMD]	115.53.141.169	9522	10	1
101	[UARC2H54]	115.93.254.80	9704	23	2
102	[31E8HCZD]	116.126.55.198	9273	24	2
103	[2M55Q4UB]	116.146.6.252	9322	19	2
104	[OLJMCUO5]	116.164.117.70	8838	22	1
105	[PA2783FH]	116.238.158.164	9158	5	1
106	[881ALG6I]	116.238.158.164	9158	8	1
107	[WCHNKC2V]	117.131.153.133	9318	23	2
108	[T98TJB78]	117.172.19.70	9513	22	3
109	[NKSXU5DE]	117.200.172.59	8764	15	3
110	[R4MJSAJI]	117.200.172.59	8764	17	1
111	[3VIL9WMK]	118.163.13.141	9070	19	1
112	[WWFYWZMQ]	118.245.60.79	8859	23	1
113	[K9FBJFO5]	118.245.60.79	8859	21	2
114	[X0RGUZYW]	118.6.165.127	9503	22	2
115	[H6ILMLOO]	118.83.117.51	8988	4	1
116	[AEAXLH6K]	118.92.255.68	9694	4	3
117	[BGWSXM8B]	119.131.60.4	9172	21	1
118	[7GJLAS1I]	119.131.60.4	9172	16	1
119	[4170UUI9]	119.171.111.82	9464	20	1
120	[QUQB028E]	119.171.111.82	9464	19	2
121	[D0SA50UY]	119.176.247.10	9160	16	4
122	[4W5GG2RH]	119.176.247.10	9160	18	1
123	[O8O8AIWH]	119.176.247.10	9160	18	2
124	[CUDC5I1W]	119.40.104.3	8681	1	2
125	[9BKXAH42]	119.40.104.3	8681	1	1
126	[D1ETGFZB]	119.40.104.3	8681	2	2
127	[F1YFP6M7]	119.40.25.73	9079	12	2
128	[CUR417FV]	119.40.25.73	9656	14	4
129	[H0SX85AN]	119.88.223.141	9037	19	1
130	[I9ZVDPWA]	119.88.223.141	9037	10	4
131	[I5I7D8PI]	119.88.223.141	9037	10	2
132	[JKSOBIO0]	119.88.223.141	9037	20	1
133	[XWM7JZPZ]	12.28.237.113	9184	24	1
134	[47AVL0CY]	12.88.146.237	9036	24	2
135	[IZFD7OQR]	12.88.146.237	9036	24	1
136	[3V8IN0SG]	120.201.223.141	8794	20	3
137	[P40X09SX]	120.201.223.141	8942	23	1
138	[G07NLIZS]	120.24.5.94	9354	17	3
139	[462D4DLW]	120.24.5.94	9354	21	1
140	[V95SN2OB]	120.24.5.94	9354	17	2
141	[13B15CIG]	121.159.126.64	8981	22	2
142	[0P2N16IZ]	121.159.126.64	8981	21	2
143	[KTZ83AHE]	121.159.126.64	8981	21	1
144	[OOZLQWZC]	121.165.118.201	8642	8	1
145	[6143YC0Z]	121.19.122.233	9117	1	1
146	[OOA2M7VH]	121.213.34.38	8834	21	2
147	[5NYD84TM]	122.203.75.149	8669	20	1
148	[4XW0IPEP]	123.133.62.200	9207	24	2
149	[2WFS9YNS]	123.133.62.200	9207	20	1
150	[PRO0S5AQ]	123.149.234.239	9275	20	1
151	[OS8PQD6H]	123.149.234.239	9275	22	2
152	[7IWIEIV1]	123.179.81.52	8847	24	2
153	[BDTIUWRA]	123.19.202.44	8986	18	4
154	[HIKXRO8B]	123.36.123.246	9208	12	2
155	[V09U796E]	123.63.94.109	8924	5	4
156	[NUMK4OCN]	124.179.254.20	9371	19	1
157	[BJLO300E]	124.189.64.57	9093	13	2
158	[B0B21MMN]	124.49.162.174	9357	2	1
159	[20RSEK2T]	124.58.134.80	8938	2	1
160	[RGI5V9MA]	124.58.134.80	8938	14	1
161	[MMH20R8O]	125.11.227.101	9667	16	1
162	[DWZ0UMWN]	125.11.227.101	9667	15	3
163	[DVK9PL9O]	125.123.62.48	9182	21	1
164	[W3VAIRMX]	125.123.62.48	9182	14	1
165	[UV1FNKWV]	125.157.212.75	9575	8	1
166	[4N5N4QWQ]	125.157.212.75	9575	1	1
167	[VDXYY25U]	126.100.115.187	9193	23	2
168	[UKK3F3W4]	126.100.115.187	9193	10	1
169	[6O2VPAZ1]	126.224.106.111	9265	17	1
170	[GQ5LP34X]	126.73.28.129	9187	8	1
171	[0LIHZ5NJ]	126.73.28.129	9187	17	2
172	[UX3MW08Z]	126.75.53.228	9634	3	2
173	[R15Y4BI2]	126.75.53.228	9634	10	1
174	[OK32SB45]	127.153.77.247	9148	18	1
175	[WG6P3FPB]	127.153.77.247	9148	20	1
176	[9ACY0ZLB]	127.210.132.198	8960	2	3
177	[ZY876CSF]	127.210.132.198	8960	19	3
178	[Y229LI8V]	128.121.88.24	9029	21	2
179	[6V08KYNC]	128.121.88.24	9029	21	2
180	[CQTZHSCG]	128.139.187.156	8819	1	3
181	[PR5SEASP]	128.142.131.12	9125	24	2
182	[GSDEM75R]	128.142.131.12	9125	14	1
183	[HE10ZSLU]	128.170.64.208	8723	2	1
184	[BKIGBAZ7]	128.170.64.208	9295	11	1
185	[3C4R8N3M]	128.192.19.165	9608	20	1
186	[7Z4UM9U8]	128.192.19.165	9608	24	1
187	[IUM5JPIC]	128.27.113.37	8689	4	1
188	[TFD9AJ58]	129.141.57.178	9463	7	1
189	[1DWULG9L]	129.141.57.178	9463	11	1
190	[SS95VT7C]	129.141.57.178	9463	19	5
191	[4FON3DBC]	13.37.79.249	9541	3	2
192	[X4G6ZKPF]	13.75.52.199	9084	1	1
193	[TDJNCTP1]	130.103.48.161	9247	23	1
194	[DV1W4QC6]	130.103.48.161	9247	9	2
195	[98ZNDDHD]	130.125.194.184	9585	19	1
196	[RK6E709O]	130.125.194.184	9585	12	2
197	[Q9IRD0S1]	130.158.244.88	9450	10	1
198	[AV2P47FL]	130.158.244.88	9450	19	1
199	[WDXVQ758]	130.158.244.88	9450	8	1
200	[I27B617Y]	130.181.250.88	9718	8	1
201	[JRSGX0NY]	130.181.250.88	9718	14	1
202	[T50UUP15]	130.181.250.88	9718	8	1
203	[M8QH8AV4]	131.134.89.66	9497	23	1
204	[TIP5GEC9]	131.89.43.47	9278	23	1
205	[06HMUTVQ]	132.104.91.172	9111	3	1
206	[GW5A55RJ]	132.157.145.31	9034	24	2
207	[6TO23RE9]	132.157.145.31	9034	12	5
208	[NIKJIBRQ]	132.241.17.218	8645	4	2
209	[ZOJCMZPB]	132.241.17.218	8645	17	1
210	[SQ9DOZR2]	132.241.17.218	9443	2	3
211	[N9VKD69C]	134.161.138.5	9082	20	1
212	[TR6B461N]	134.161.138.5	9082	13	1
213	[UFP7Z1VO]	134.248.201.69	9129	1	5
214	[X69L6POB]	134.254.149.62	9720	12	1
215	[HBRVI0WR]	134.254.149.62	9720	8	2
216	[LRU6PFLW]	135.114.251.220	8698	22	3
217	[U8D9DQC2]	135.23.227.48	9607	19	4
218	[F8QCTNYV]	135.23.227.48	9607	5	1
219	[AKY4SLKC]	135.70.2.116	8736	20	1
220	[NZYYE4EA]	136.103.192.226	9423	23	2
221	[87H85LQJ]	136.229.142.249	9239	3	2
222	[APC8XAV5]	136.229.142.249	9239	20	1
223	[3INT0I09]	136.229.142.249	9239	18	3
224	[EAGZX38C]	136.229.142.249	9239	16	1
225	[CNTDY91F]	136.229.142.249	9484	18	1
226	[7HV7YO4C]	136.251.7.18	8867	13	1
227	[QO00463B]	137.11.173.134	9315	18	1
228	[7Y7CU7S1]	137.169.44.36	8741	1	2
229	[13MYPSF9]	137.176.144.229	9009	14	3
230	[8SWUIK73]	137.241.185.136	9352	20	4
231	[8TYM55JP]	137.241.185.136	9352	18	5
232	[0PFWIABO]	137.9.133.186	9012	24	5
233	[HKQUFZWL]	137.9.133.186	9012	20	1
234	[DT9YKADM]	138.202.134.249	9716	23	5
235	[C244N2GO]	138.28.189.160	9298	9	1
236	[NDAQSXFJ]	138.28.189.160	9721	24	1
237	[FDJGO629]	138.79.75.218	9007	13	2
238	[K9VD2AA8]	138.79.75.218	9007	8	2
239	[HPXV3HHQ]	139.197.46.187	9065	10	2
240	[IVKYTHAA]	139.197.46.187	9065	2	3
241	[IO21JAZC]	139.71.103.81	8997	11	2
242	[O2LF5XIL]	139.87.161.179	9151	19	1
243	[0AQKB2KP]	139.97.64.205	9470	17	3
244	[FBPH1QCD]	140.130.48.24	8680	5	3
245	[EK5P65Q0]	140.130.48.24	8730	17	2
246	[ORPXLAF1]	140.130.48.24	8730	11	1
247	[LOXU72BX]	140.25.177.123	8803	4	1
248	[OWEBXDBQ]	140.25.177.123	8803	10	2
249	[8ODP6CZY]	140.25.177.123	8803	15	3
250	[BR53M8KJ]	141.78.44.239	9173	12	1
251	[AKVUUFHL]	141.78.44.239	9173	15	2
252	[2HHN3AH0]	141.78.44.239	9173	10	3
253	[JUWZT3F0]	143.128.39.203	9692	19	1
254	[ZWHMNRUK]	143.128.39.203	9692	9	1
255	[P1QU2HHK]	143.179.241.1	9502	21	2
256	[L1VZHHY5]	143.179.241.1	9502	8	3
257	[NGUGASRV]	143.228.194.87	9006	22	1
258	[X91BGAAR]	143.48.227.127	9233	20	1
259	[ARABLRP6]	143.61.81.139	9338	17	1
260	[ES0HLTM0]	143.61.81.139	9338	14	2
261	[MTU6GEP2]	143.61.81.139	9338	9	2
262	[QCDJSNWN]	143.61.81.139	9338	21	1
263	[WXP3N4XA]	144.15.35.162	9073	2	4
264	[FANDEQXX]	144.154.171.33	8706	2	1
265	[XBYOLQ1W]	144.154.171.33	9671	24	2
266	[3HXKV5PO]	144.41.197.171	9312	13	1
267	[O3KR36GV]	144.41.197.171	9312	19	3
268	[DTYFIL5P]	146.29.170.153	8684	3	2
269	[TNQQF5UN]	146.29.170.153	8684	18	1
270	[8BPTKOTO]	147.131.176.245	8970	19	4
271	[7S5X9TEW]	147.131.176.245	8970	13	1
272	[IIZI8RNY]	147.144.255.18	9790	13	1
273	[E6ZEIY0X]	147.42.83.4	8753	23	3
274	[REQQLKZD]	147.42.83.4	8753	5	2
275	[ESN2QFS2]	147.42.83.4	8753	21	2
276	[O52G7X00]	148.110.179.251	8755	21	2
277	[QQPVYUIT]	148.127.59.52	9646	24	1
278	[DGVDNKE4]	148.127.59.52	9646	2	1
279	[Z0KT383P]	148.138.143.39	9049	22	1
280	[NPOZHOV5]	148.41.234.153	9363	6	3
281	[IJMZ5EAH]	148.41.234.153	9363	10	2
282	[GMOZP6GH]	148.41.234.153	9363	1	1
283	[WBK32QYV]	149.1.94.193	8870	6	1
284	[NO5DBU0D]	149.194.101.101	8957	24	1
285	[4BJ9LYJC]	15.121.192.24	9396	16	1
286	[IHYPJQQ0]	15.124.237.79	9144	7	3
287	[3J56XBJW]	15.124.237.79	9144	6	1
288	[265SMOMI]	15.124.237.79	9144	23	1
289	[PS5NOOBZ]	150.145.40.30	9776	1	3
290	[NMHEVZQ6]	150.73.34.161	8712	17	1
291	[F6SCC9NR]	150.73.34.161	8712	22	2
292	[JETCTZRE]	151.27.8.208	9023	21	1
293	[X1V51347]	151.79.112.77	8769	9	2
294	[K0EA9XUW]	151.79.112.77	8769	16	1
295	[T6LML1DZ]	152.149.206.47	8928	19	4
296	[ZTB049P7]	152.149.206.47	8928	22	4
297	[YDLG367J]	152.149.206.47	8928	19	1
298	[8J7Y6R2L]	152.162.26.143	8728	20	1
299	[VNY74N27]	152.162.26.143	8728	20	1
300	[CG9SDHA5]	152.162.26.143	9764	24	2
301	[RGQXYFUJ]	152.164.144.227	8910	19	2
302	[UGPDZINI]	152.164.144.227	8910	24	3
303	[3R6PMQSF]	152.216.67.105	8926	2	2
304	[QTEKH9E4]	152.216.67.105	8926	2	1
305	[OQNKLA9F]	152.241.45.135	9306	14	2
306	[3047NSGQ]	153.182.193.49	8800	23	1
307	[T4L5FJM3]	153.210.237.29	9370	3	5
308	[48G5NBS3]	153.210.237.29	9370	23	1
309	[E364TMWT]	153.7.165.42	9124	24	2
310	[IVNPSOMZ]	153.7.165.42	9124	9	1
311	[DGONF75P]	153.7.165.42	9124	17	1
312	[J6RGBWJ0]	154.124.216.106	9060	7	1
313	[08N6B65M]	154.168.8.45	9674	16	5
314	[HKB2E4HO]	154.235.163.167	9340	18	3
315	[8OB2PJFU]	154.235.163.167	9340	19	1
316	[OZWAWI4H]	154.242.126.122	9565	13	2
317	[LOU9FILP]	154.242.126.122	9565	19	3
318	[NV67I6S6]	154.242.126.122	9565	20	1
319	[BO5AGXJU]	154.42.158.64	8714	24	5
320	[4WWEOJZV]	154.80.31.153	9466	20	1
321	[FD57YKO4]	154.80.31.153	9466	20	1
322	[11OAO0OS]	155.201.232.50	9153	5	2
323	[AO16NZAK]	155.43.255.45	9355	8	2
324	[19IP5QLS]	155.43.255.45	9421	22	1
325	[A62DKJFO]	156.108.104.125	9131	7	5
326	[V8V68Z3L]	156.108.104.125	9131	24	1
327	[M6RQNJI7]	156.108.104.125	9725	23	1
328	[VB5LO9ZE]	156.194.129.4	9025	20	1
329	[UKZKI55Q]	156.195.183.77	9686	14	1
330	[UX2ERB5H]	156.223.132.131	9197	21	1
331	[KCEXH6JO]	156.224.3.6	9279	4	3
332	[CP27GAMW]	156.26.156.228	8956	1	1
333	[1S79IA8H]	156.26.156.228	9408	20	1
334	[Y7QZKL60]	156.26.156.228	9408	24	4
335	[LH45M1WZ]	156.26.156.228	9408	13	2
336	[2GWVHGB5]	156.26.156.228	9408	24	1
337	[8PRR3534]	156.76.16.255	9583	16	2
338	[ZGNK0MSN]	156.76.16.255	9591	17	1
339	[3UL63PSF]	156.76.16.255	9591	20	1
340	[OPD1OI5S]	157.128.233.249	9026	14	1
341	[1W8OQ1ID]	157.128.233.249	9026	21	3
342	[PHEHQLJ5]	158.251.16.246	8828	22	1
343	[BYQ3C8QY]	158.251.16.246	8828	4	1
344	[6JNS9VP6]	158.251.16.246	8828	10	1
345	[O9V27CD1]	158.55.171.159	8701	7	1
346	[GD3QP96F]	159.154.125.10	9181	3	2
347	[8LN3YC3U]	159.154.125.10	9181	2	2
348	[3ZYJTW05]	159.175.183.126	8875	14	3
349	[WQMTN7TL]	159.175.183.126	8875	21	1
350	[X4PY57BP]	159.246.56.85	9697	3	1
351	[IY8O4TLM]	159.61.211.248	8842	24	3
352	[SCFC0XVO]	159.61.211.248	8842	14	1
353	[S7ODQ69D]	159.90.54.84	9336	8	5
354	[ADMOXGXY]	159.90.54.84	9643	1	2
355	[CWSFI3EM]	16.134.192.203	8691	9	2
356	[14K86Y0C]	16.247.25.198	8676	13	1
357	[9A6F0RPM]	16.247.25.198	8676	18	1
358	[TOB0HEKH]	16.30.16.201	8664	2	2
359	[G66UL2TX]	16.42.107.29	9064	11	1
360	[SRD64SIX]	160.227.79.231	8765	23	3
361	[5201XCHR]	160.227.79.231	9543	22	2
362	[OJ028ANE]	160.227.79.231	9543	23	1
363	[FY6XIG2F]	160.227.79.231	9543	24	4
364	[I6MHUB96]	160.227.79.231	9543	19	1
365	[715E4X47]	160.54.56.36	8778	14	2
366	[8YE1VK14]	160.54.56.36	8778	14	3
367	[G2CKADBB]	161.233.231.250	9483	10	1
368	[YDW0EJQH]	161.233.231.250	9483	23	1
369	[49MUZ2KL]	161.238.99.61	9287	19	1
370	[Y53D1D1U]	161.5.182.86	9580	12	1
371	[KPPX1WG4]	161.5.182.86	9580	12	1
372	[OW5HNCZ0]	162.122.128.238	9687	15	2
373	[KEUFIOT0]	162.122.128.238	9687	11	2
374	[OXBO8WOO]	163.116.61.190	9302	6	1
375	[KI0AV3IV]	163.166.187.154	9747	21	1
376	[4J7B58NK]	163.166.187.154	9747	17	2
377	[2QP15RFU]	163.166.187.154	9747	11	2
378	[DLMBZBGS]	163.177.212.196	8742	24	4
379	[RHA556EK]	163.42.182.13	9177	22	1
380	[57HINOSF]	164.121.194.180	9604	24	5
381	[XL2ET0UV]	164.121.194.180	9604	6	1
382	[FBKCRCZP]	164.173.224.218	9626	24	4
383	[WYLAZQDS]	164.209.134.90	8902	24	1
384	[00WQ8WSJ]	164.229.114.243	9319	6	2
385	[LJXPAR1X]	164.30.8.42	8649	6	3
386	[46BLTDFM]	164.30.8.42	9511	17	1
387	[FIUHT8V1]	164.30.8.42	9511	15	2
388	[0HHJKHC8]	165.109.158.251	9589	16	1
389	[PDFVYMMJ]	165.176.232.246	8789	17	2
390	[RXTI6CE2]	165.176.232.246	8789	4	1
391	[3MP5PNC4]	165.176.232.246	8789	13	2
392	[D4N9HAZ0]	165.218.210.245	9326	17	4
393	[HP0ZBBGI]	165.218.210.245	9326	20	1
394	[5CC9QE65]	166.105.192.95	8931	4	1
395	[24U84TX6]	166.105.192.95	8931	21	1
396	[OI389V8V]	166.11.215.138	9425	6	2
397	[BF82QPZ5]	166.193.168.26	9726	21	1
398	[LHMFBF3D]	166.193.168.26	9726	10	2
399	[OAOLZ9ZR]	166.193.168.26	9726	7	1
400	[N14SAT9N]	166.193.168.26	9726	22	1
401	[BE3XT4IC]	166.33.93.12	9431	11	1
402	[B6JIQNY7]	166.33.93.12	9431	6	1
403	[YJ35OE5F]	166.41.167.138	8844	20	2
404	[RIQM5SBH]	167.159.170.228	9546	16	1
405	[ZPJUL0IJ]	167.159.170.228	9546	8	2
406	[XB9G6SY2]	167.26.109.119	9286	8	1
407	[USVGI4TM]	167.26.109.119	9286	8	2
408	[4E95FLSD]	168.169.103.30	9413	21	1
409	[UZZIX54A]	168.169.103.30	9413	7	1
410	[7Z4HWYEG]	168.246.227.45	8670	20	1
411	[243NML34]	168.246.227.45	8670	18	2
412	[UX0KRWLW]	168.246.227.45	8832	7	1
413	[BCOUP06P]	168.56.94.122	9449	15	1
414	[1JLRK695]	169.146.59.5	9168	1	1
415	[N0C0G7VO]	169.146.59.5	9168	21	2
416	[QZ0Y6WOZ]	169.69.95.188	8975	24	1
417	[YSV26INZ]	169.69.95.188	8975	22	1
418	[YOHBYGN2]	169.91.175.246	9657	1	2
419	[64VOBR6E]	17.31.54.254	9539	23	2
420	[QH5NFOPE]	17.31.54.254	9539	12	1
421	[OGZAL4YE]	17.50.110.236	9164	16	2
422	[PY4N5MNQ]	17.50.110.236	9164	9	3
423	[85H5P358]	17.50.110.236	9164	22	1
424	[JSYG59O5]	170.160.207.25	9571	20	1
425	[GJVZWR6Y]	170.160.207.25	9638	16	1
426	[CZEPH8VL]	170.241.16.190	9119	16	1
427	[UJG7BMWL]	170.241.16.190	9119	14	1
428	[HUP71LUS]	170.42.135.135	8757	22	1
429	[G4DAKMS4]	171.128.73.39	9669	14	1
430	[3VZ844XC]	171.128.73.39	9669	22	2
431	[7NBM9IAC]	171.20.162.128	9212	21	2
432	[AFAEFZNC]	171.209.188.136	9195	22	2
433	[LOAQO8CI]	171.216.194.138	8655	12	1
434	[ARQ4NAEB]	171.216.194.138	8655	1	4
435	[CZG0E1E4]	172.22.105.142	9005	3	1
436	[8Z14PV87]	172.27.107.17	8760	14	5
437	[AHAAXSC8]	173.151.35.4	8860	15	3
438	[IHXREMLB]	173.56.117.58	8783	12	1
439	[JZXSKRMU]	174.144.117.184	9436	15	1
440	[H8OXDS0Y]	174.144.117.184	9459	21	1
441	[UWCUSU1P]	174.211.111.89	8897	15	5
442	[91O3YT3U]	174.42.140.109	8792	7	1
443	[AM39ZZUM]	174.42.140.109	8792	24	1
444	[IDOAG2TO]	175.223.20.120	9185	19	1
445	[TC4G8NP8]	175.223.20.120	9185	23	1
446	[EEADQDGO]	175.57.234.54	9618	10	1
447	[CWC59KR6]	175.57.234.54	9618	24	2
448	[V188PCUH]	175.57.234.54	9618	22	1
449	[AVFUH5VN]	176.162.104.60	9254	23	2
450	[XCV3S0NS]	176.162.104.60	9254	5	1
451	[L931RVOJ]	176.162.104.60	9254	22	2
452	[IUXL4YAZ]	176.195.54.22	8850	20	1
453	[8AQADEEV]	176.216.59.3	9564	21	3
454	[4Y8C51U9]	176.241.211.190	9549	21	2
455	[NHJ43QAY]	176.69.123.23	8915	17	1
456	[3N4DA27Q]	176.73.40.192	9455	24	1
457	[0R8NBH5M]	176.73.40.192	9455	7	2
458	[ARZBGPI0]	177.173.16.16	9244	7	1
459	[55SU8UMQ]	177.173.16.16	9244	7	1
460	[IFL3VZSA]	177.173.16.16	9244	20	2
461	[OK3X8GPZ]	177.173.16.16	9290	19	1
462	[E3W653IE]	177.20.194.192	9772	11	4
463	[SFCJI9AT]	178.176.85.187	8738	2	1
464	[TPU9RDBZ]	178.176.85.187	8738	15	2
465	[WLQAWQR6]	179.106.143.70	9032	14	2
466	[JFIZZIMC]	179.176.17.225	9602	18	2
467	[T07I39AP]	179.176.17.225	9602	9	4
468	[TDG38VNC]	179.179.95.167	9078	7	5
469	[FFXKJJGA]	179.179.95.167	9078	2	1
470	[5378L51L]	179.179.95.167	9078	16	1
471	[59JE20ER]	179.241.26.202	9154	15	1
472	[8RVCULN5]	179.44.173.245	8991	15	2
473	[SO9HM0MH]	18.220.140.179	9106	18	1
474	[XV1885ZD]	18.220.140.179	9472	19	2
475	[AXLQURFJ]	18.220.200.252	9189	20	1
476	[Y1FUSW0F]	18.220.200.252	9189	11	1
477	[R3QSFH0K]	18.220.200.252	9189	19	1
478	[X6UK57GM]	180.128.120.128	8650	15	1
479	[3E8RJYM3]	180.128.120.128	8650	16	1
480	[1JEY20WD]	180.128.120.128	8650	21	5
481	[FZWO7D86]	180.245.43.107	8717	19	1
482	[CYY29JN2]	180.245.43.107	8717	23	2
483	[W1466IXL]	181.198.96.253	9077	10	4
484	[JI16KU50]	181.198.96.253	9077	21	1
485	[969IP0PW]	181.250.154.108	9147	17	4
486	[GFH14N5C]	182.102.85.167	9777	22	1
487	[HXTVLRIY]	182.190.208.6	8731	19	1
488	[EEIIY3L1]	183.107.12.37	9486	2	1
489	[UXK27SGS]	183.107.12.37	9486	14	1
490	[S8M56BNA]	183.194.144.76	9409	10	1
491	[Q511620M]	183.194.144.76	9409	23	1
492	[MDWMUBJ2]	183.194.144.76	9409	9	1
493	[44O2F35F]	183.201.18.244	9690	6	1
494	[RSMUJ0IH]	183.201.18.244	9690	22	3
495	[XW6GU405]	183.212.49.126	8708	5	1
496	[QWWORDYH]	183.212.49.126	9525	21	3
497	[MAG24G8W]	183.212.49.126	9682	12	1
498	[2DA26ZDP]	183.74.52.127	9274	4	2
499	[213Z9JD0]	184.132.224.98	9629	5	1
500	[DRV39A2Y]	184.132.224.98	9629	8	1
501	[49LZYFU4]	184.132.224.98	9629	18	2
502	[FWPUPBEV]	184.140.9.227	9103	20	1
503	[HR9GLFRK]	184.93.211.248	9297	8	1
504	[M0EM8ODV]	184.93.211.248	9297	4	2
505	[KSP5N3XC]	184.93.211.248	9297	22	1
506	[OPC7VRFD]	185.173.181.152	8781	14	2
507	[B37S5GVU]	186.154.65.249	9650	10	2
